113.58,12.05,38.38,115.27,67.57
101.47,12.26,47.59,104.84,57.23
78.58,12.72,33.74,131.49,58.41
86.87,14.12,32.86,102.95,22.56
86.03,12.44,47.13,118.65,26.16
75.16,14.02,58.04,121.07,26.43
108.68,12.88,38.28,84.81,54.78
82.27,12.88,43.01,118.1,71.48
92.77,13.86,43.55,148.01,77.69
97.06,13.33,54.51,101.76,72.33
116.43,14.53,52.57,134.3,77.68
102.81,12.31,47.42,96.19,34.55
89.3,12.07,54.07,147.24,24.4
108.85,12.37,49.96,138.5,66.31
85.31,13.34,34.27,106.4,20.03
105.68,14.35,44.78,144.32,75.3
112.09,13.24,39.34,82.0,48.68
111.05,14.25,32.08,121.99,58.48
119.28,14.66,36.06,85.06,40.96
116.1,14.07,57.0,92.28,58.71
96.66,12.46,39.64,96.09,38.32
103.52,12.42,40.12,145.51,48.83
100.14,13.19,34.7,123.52,38.79
98.22,14.83,41.53,129.64,57.35
81.95,12.49,45.67,135.36,29.74
81.77,12.13,42.13,141.17,25.52
115.87,13.76,32.32,131.93,35.41
92.86,13.22,43.81,101.93,25.51
111.66,14.36,44.05,137.21,68.94
104.68,14.5,34.68,127.8,68.89
83.64,12.97,58.23,147.38,73.56
81.02,12.1,47.19,110.86,61.23
101.1,12.1,32.74,141.07,21.01
77.7,13.55,44.09,104.19,77.16
111.21,14.23,47.97,98.71,35.83
93.26,13.53,49.43,96.06,63.91
89.87,14.35,45.81,89.78,36.65
115.85,13.7,48.47,115.08,35.3
114.55,14.98,33.97,107.06,70.69
107.63,13.17,31.55,137.71,51.99
106.82,14.46,41.5,80.62,77.88
79.41,14.7,43.64,99.71,69.44
87.65,13.6,40.71,113.41,59.48
73.78,12.51,51.28,124.51,79.44
116.24,13.22,36.14,108.91,70.82
71.64,12.64,50.2,113.23,38.36
86.4,12.1,47.02,111.46,41.1
84.58,13.55,32.12,145.7,32.13
112.81,14.1,45.19,97.3,52.1
90.99,14.98,58.96,104.37,33.03
91.58,14.97,44.09,143.11,42.3
118.85,14.56,52.08,145.21,27.57
118.53,13.47,53.33,140.19,59.14
91.46,12.65,57.19,88.36,77.29
101.18,13.39,39.23,134.3,78.47
116.56,12.93,41.27,110.07,36.28
101.47,12.94,41.63,114.36,75.21
100.22,14.24,44.16,130.66,56.03
104.46,12.73,36.77,120.27,68.02
70.4,12.3,34.48,123.28,30.96
81.13,12.21,54.28,80.62,37.34
117.24,13.8,41.06,133.06,76.93
101.3,14.89,46.98,100.99,68.11
103.13,13.1,38.93,89.5,62.52
104.95,12.34,35.66,107.31,43.82
91.52,14.57,43.28,117.61,49.64
72.9,12.32,39.27,140.74,55.42
100.88,12.85,36.39,104.31,45.67
